t8_aux001_sup002_cs000/final

Soft/default routing

====================================================================================================
Smoke Test Case: French
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Tu es un assistant virtuel. Raconte-moi ta routine matinale avant d'aller au travail. Utilise des verbes pronominaux.

### Response:


Generating...
Je me lève à 6 heures du matin, prends une douche, prépare un petit déjeuner sain et me prépare pour aller au travail.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.2520 |     0.3574 |     0.3906
###                       |     0.5703 |     0.2012 |     0.2305
 Instruction              |     0.1895 |     0.3477 |     0.4629
:\n                       |     0.1934 |     0.3457 |     0.4609
Tu                        |     0.6094 |     0.1289 |     0.2598
 es                       |     0.8750 |     0.0542 |     0.0718
 un                       |     0.5586 |     0.2168 |     0.2246
 assistant                |     0.8359 |     0.1099 |     0.0530
 virt                     |     0.4238 |     0.2637 |     0.3125
uel                       |     0.6094 |     0.2695 |     0.1191
.                         |     0.8359 |     0.0972 |     0.0664
 Ra                       |     0.6016 |     0.1758 |     0.2217
conte                     |     0.8164 |     0.0645 |     0.1211
-m                        |     0.4414 |     0.1982 |     0.3613
oi                        |     0.6367 |     0.2422 |     0.1230
 ta                       |     0.6562 |     0.1602 |     0.1846
 routine                  |     0.5781 |     0.2354 |     0.1855
 mat                      |     0.4473 |     0.2812 |     0.2715
in                        |     0.5781 |     0.2266 |     0.1934
ale                       |     0.5898 |     0.2871 |     0.1245
 avant                    |     0.7930 |     0.1118 |     0.0938
                          |     0.5586 |     0.1562 |     0.2871
d                         |     0.6836 |     0.1445 |     0.1729
aller                     |     0.8320 |     0.0928 |     0.0767
 au                       |     0.7461 |     0.1245 |     0.1309
 travail                  |     0.7930 |     0.1299 |     0.0767
.                         |     0.6250 |     0.2793 |     0.0977
 Util                     |     0.4492 |     0.2002 |     0.3496
ise                       |     0.5273 |     0.1138 |     0.3594
 des                      |     0.6992 |     0.0874 |     0.2119
 ver                      |     0.5625 |     0.0913 |     0.3477
bes                       |     0.8008 |     0.1030 |     0.0947
 pr                       |     0.4277 |     0.1846 |     0.3887
onom                      |     0.7266 |     0.1348 |     0.1367
ina                       |     0.4883 |     0.3574 |     0.1533
ux                        |     0.7656 |     0.1289 |     0.1060
.\n\n                     |     0.7539 |     0.1621 |     0.0845
###                       |     0.8984 |     0.0742 |     0.0288
 Response                 |     0.0135 |     0.9766 |     0.0114
:\n                       |     0.8711 |     0.0796 |     0.0488
Je                        |     0.8125 |     0.0972 |     0.0889
 me                       |     0.8242 |     0.0796 |     0.0952
 l                        |     0.3945 |     0.1553 |     0.4512
ève                       |     0.7773 |     0.1729 |     0.0479
 à                        |     0.6289 |     0.2070 |     0.1631
                          |     0.5430 |     0.2139 |     0.2422
6                         |     0.5391 |     0.3359 |     0.1250
 heures                   |     0.6211 |     0.2578 |     0.1187
 du                       |     0.6992 |     0.1465 |     0.1523
 mat                      |     0.3457 |     0.4238 |     0.2295
in                        |     0.5117 |     0.3809 |     0.1094
,                         |     0.6328 |     0.2734 |     0.0952
 prend                    |     0.4980 |     0.1973 |     0.3047
s                         |     0.5547 |     0.1553 |     0.2891
 une                      |     0.6758 |     0.2158 |     0.1089
 douche                   |     0.5586 |     0.2930 |     0.1465
,                         |     0.6289 |     0.2793 |     0.0908
 pré                      |     0.5898 |     0.1001 |     0.3105
pare                      |     0.4941 |     0.2949 |     0.2109
 un                       |     0.5586 |     0.2715 |     0.1699
 petit                    |     0.6172 |     0.2197 |     0.1631
 dé                       |     0.5195 |     0.1641 |     0.3184
je                        |     0.5195 |     0.1299 |     0.3516
uner                      |     0.6055 |     0.2734 |     0.1221
 s                        |     0.6055 |     0.1572 |     0.2354
ain                       |     0.6094 |     0.1943 |     0.1973
 et                       |     0.6016 |     0.2461 |     0.1514
 me                       |     0.6602 |     0.1699 |     0.1689
 pré                      |     0.5625 |     0.1094 |     0.3281
pare                      |     0.5547 |     0.2793 |     0.1641
 pour                     |     0.6172 |     0.1953 |     0.1855
 aller                    |     0.7656 |     0.1187 |     0.1143
 au                       |     0.7188 |     0.1553 |     0.1250
 travail                  |     0.7031 |     0.1914 |     0.1050
.                         |     0.6953 |     0.2139 |     0.0908
